Leap Controller X;Leap Controller Y;Leap Controller Z;Reference Index X;Reference Index Y;Reference Index Z;Measured Index X;Measured Index Y;Measured Index Z;Reference Wrist X;Reference Wrist Y;Reference Wrist Z;Measured Wrist X;Measured Wrist Y;Measured Wrist Z;Reference Thumb X;Reference Thumb Y;Reference Thumb Z;Measured Thumb X;Measured Thumb Y;Measured Thumb Z
0.12;-0.12;0.0085;0.0302;0.1095;0.15;0.02653896;0.08446705;0.1501559;0.004;-0.048;0.15;-0.002940409;-0.05402747;0.1505945;0.04629;0.05559999;0.15;0.04558585;0.0497799;0.1520259
0.08;-0.12;0.0085;0.0302;0.1095;0.15;0.03163047;0.07644237;0.1463315;0.004;-0.048;0.15;-0.002205163;-0.05870441;0.1515166;0.04629;0.05559999;0.15;0.04954154;0.04526829;0.154701
0.04;-0.12;0.0085;0.0302;0.1095;0.15;0.03095202;0.06071559;0.1344117;0.004;-0.048;0.15;-0.002161261;-0.05868527;0.1612792;0.04629;0.05559999;0.15;0.04885554;0.03470197;0.1503506
0;-0.12;0.0085;0.0302;0.1095;0.15;0.02852219;0.05027958;0.1353313;0.004;-0.048;0.15;-0.004383413;-0.05873129;0.1645096;0.04629;0.05559999;0.15;0.05020933;0.02648038;0.1525579
-0.04;-0.12;0.0085;0.0302;0.1095;0.15;0.02592556;0.05453328;0.1535644;0.004;-0.048;0.15;-0.006722108;-0.05995162;0.1646438;0.04629;0.05559999;0.15;0.05340619;0.02893151;0.1656011
0.12;-0.16;0.0085;0.0302;0.1095;0.15;0.03086185;0.08190235;0.1491503;0.004;-0.048;0.15;-0.001373105;-0.05557865;0.1517761;0.04629;0.05559999;0.15;0.04873649;0.04437742;0.1550362
0.16;-0.16;0.0085;0.0302;0.1095;0.15;0.02602759;0.08729114;0.1489784;0.004;-0.048;0.15;-0.003744438;-0.05222747;0.1518397;0.04629;0.05559999;0.15;0.04500541;0.04892384;0.1523595
0.2;-0.16;0.0085;0.0302;0.1095;0.15;0.02790038;0.09232345;0.145819;0.004;-0.048;0.15;-0.004155844;-0.04888588;0.1517489;0.04629;0.05559999;0.15;0.04387587;0.05440807;0.1540996
0.24;-0.16;0.0085;0.0302;0.1095;0.15;0.03063738;0.08772518;0.1403755;0.004;-0.048;0.15;-0.002990991;-0.04998;0.1504887;0.04629;0.05559999;0.15;0.04427494;0.05172035;0.1533498
0.28;-0.16;0.0085;0.0302;0.1095;0.15;0.03356931;0.08601649;0.1374214;0.004;-0.048;0.15;-4.035234E-05;-0.05346574;0.1500726;0.04629;0.05559999;0.15;0.04871632;0.04725982;0.1508547
0.32;-0.16;0.0085;0.0302;0.1095;0.15;0.03912809;0.0768646;0.1373576;0.004;-0.048;0.15;0.004903376;-0.05962399;0.1493849;0.04629;0.05559999;0.15;0.05526301;0.03692673;0.14765
0.24;-0.2;0.0085;0.0302;0.1095;0.15;0.03420432;0.07759821;0.1422535;0.004;-0.048;0.15;-0.00107488;-0.05244376;0.151435;0.04629;0.05559999;0.15;0.04957487;0.04143032;0.1526944
0.2;-0.2;0.0085;0.0302;0.1095;0.15;0.02998216;0.08475024;0.145267;0.004;-0.048;0.15;-0.001982644;-0.0505375;0.1534675;0.04629;0.05559999;0.15;0.04952322;0.0464213;0.1519897
0.16;-0.2;0.0085;0.0302;0.1095;0.15;0.02415502;0.0806793;0.144885;0.004;-0.048;0.15;-0.00544171;-0.05499332;0.1523919;0.04629;0.05559999;0.15;0.04448232;0.04156047;0.1512273
0.12;-0.2;0.0085;0.0302;0.1095;0.15;0.02841407;0.07971179;0.1463359;0.004;-0.048;0.15;-0.002142109;-0.05620517;0.1532296;0.04629;0.05559999;0.15;0.04766859;0.04149713;0.1549757
